"filename", "language", "Python", "BibTeX", "Markdown", "XML", "YAML", "Ini", "comment", "blank", "total"
"/home/eudald/Escriptori/doctorat/cogstim/.coveragerc.ini", "Ini", 0, 0, 0, 0, 0, 25, 0, 4, 29
"/home/eudald/Escriptori/doctorat/cogstim/.cursor/rules/core.md", "Markdown", 0, 0, 63, 0, 0, 0, 0, 26, 89
"/home/eudald/Escriptori/doctorat/cogstim/.cursor/rules/project.md", "Markdown", 0, 0, 5, 0, 0, 0, 0, 5, 10
"/home/eudald/Escriptori/doctorat/cogstim/.github/workflows/ci.yml", "YAML", 0, 0, 0, 0, 40, 0, 0, 9, 49
"/home/eudald/Escriptori/doctorat/cogstim/.idea/cogstim.iml", "XML", 0, 0, 0, 17, 0, 0, 0, 0, 17
"/home/eudald/Escriptori/doctorat/cogstim/.idea/copilot.data.migration.agent.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 6
"/home/eudald/Escriptori/doctorat/cogstim/.idea/inspectionProfiles/Project_Default.xml", "XML", 0, 0, 0, 356, 0, 0, 0, 0, 356
"/home/eudald/Escriptori/doctorat/cogstim/.idea/inspectionProfiles/profiles_settings.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 6
"/home/eudald/Escriptori/doctorat/cogstim/.idea/misc.xml", "XML", 0, 0, 0, 7, 0, 0, 0, 0, 7
"/home/eudald/Escriptori/doctorat/cogstim/.idea/modules.xml", "XML", 0, 0, 0, 8, 0, 0, 0, 0, 8
"/home/eudald/Escriptori/doctorat/cogstim/.idea/vcs.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 6
"/home/eudald/Escriptori/doctorat/cogstim/README.md", "Markdown", 0, 0, 166, 0, 0, 0, 0, 56, 222
"/home/eudald/Escriptori/doctorat/cogstim/cogstim/__init__.py", "Python", 36, 0, 0, 0, 0, 0, 5, 4, 45
"/home/eudald/Escriptori/doctorat/cogstim/cogstim/cli.py", "Python", 798, 0, 0, 0, 0, 0, 35, 145, 978
"/home/eudald/Escriptori/doctorat/cogstim/cogstim/generators/__init__.py", "Python", 15, 0, 0, 0, 0, 0, 0, 4, 19
"/home/eudald/Escriptori/doctorat/cogstim/cogstim/generators/dots_ans.py", "Python", 112, 0, 0, 0, 0, 0, 4, 32, 148
"/home/eudald/Escriptori/doctorat/cogstim/cogstim/generators/dots_one_colour.py", "Python", 163, 0, 0, 0, 0, 0, 3, 36, 202
"/home/eudald/Escriptori/doctorat/cogstim/cogstim/generators/fixation.py", "Python", 89, 0, 0, 0, 0, 0, 7, 19, 115
"/home/eudald/Escriptori/doctorat/cogstim/cogstim/generators/lines.py", "Python", 191, 0, 0, 0, 0, 0, 10, 32, 233
"/home/eudald/Escriptori/doctorat/cogstim/cogstim/generators/match_to_sample.py", "Python", 116, 0, 0, 0, 0, 0, 4, 31, 151
"/home/eudald/Escriptori/doctorat/cogstim/cogstim/generators/shapes.py", "Python", 252, 0, 0, 0, 0, 0, 24, 57, 333
"/home/eudald/Escriptori/doctorat/cogstim/cogstim/helpers/__init__.py", "Python", 40, 0, 0, 0, 0, 0, 4, 4, 48
"/home/eudald/Escriptori/doctorat/cogstim/cogstim/helpers/base_generator.py", "Python", 146, 0, 0, 0, 0, 0, 11, 37, 194
"/home/eudald/Escriptori/doctorat/cogstim/cogstim/helpers/constants.py", "Python", 94, 0, 0, 0, 0, 0, 19, 20, 133
"/home/eudald/Escriptori/doctorat/cogstim/cogstim/helpers/dots_core.py", "Python", 178, 0, 0, 0, 0, 0, 26, 58, 262
"/home/eudald/Escriptori/doctorat/cogstim/cogstim/helpers/image_utils.py", "Python", 80, 0, 0, 0, 0, 0, 2, 22, 104
"/home/eudald/Escriptori/doctorat/cogstim/cogstim/helpers/mts_geometry.py", "Python", 57, 0, 0, 0, 0, 0, 4, 9, 70
"/home/eudald/Escriptori/doctorat/cogstim/cogstim/helpers/planner.py", "Python", 274, 0, 0, 0, 0, 0, 20, 57, 351
"/home/eudald/Escriptori/doctorat/cogstim/cogstim/helpers/random_seed.py", "Python", 26, 0, 0, 0, 0, 0, 1, 11, 38
"/home/eudald/Escriptori/doctorat/cogstim/cogstim/helpers/summary_writer.py", "Python", 68, 0, 0, 0, 0, 0, 1, 13, 82
"/home/eudald/Escriptori/doctorat/cogstim/docs/faq.md", "Markdown", 0, 0, 173, 0, 0, 0, 0, 109, 282
"/home/eudald/Escriptori/doctorat/cogstim/docs/guide.md", "Markdown", 0, 0, 409, 0, 0, 0, 0, 157, 566
"/home/eudald/Escriptori/doctorat/cogstim/docs/index.md", "Markdown", 0, 0, 69, 0, 0, 0, 0, 37, 106
"/home/eudald/Escriptori/doctorat/cogstim/docs/llm_oriented/api_reference.md", "Markdown", 0, 0, 1048, 0, 0, 0, 0, 327, 1375
"/home/eudald/Escriptori/doctorat/cogstim/docs/llm_oriented/architecture.md", "Markdown", 0, 0, 647, 0, 0, 0, 0, 134, 781
"/home/eudald/Escriptori/doctorat/cogstim/docs/llm_oriented/context.md", "Markdown", 0, 0, 576, 0, 0, 0, 0, 160, 736
"/home/eudald/Escriptori/doctorat/cogstim/docs/llm_oriented/llm_documentation.md", "Markdown", 0, 0, 2283, 0, 0, 0, 0, 631, 2914
"/home/eudald/Escriptori/doctorat/cogstim/docs/recipes.md", "Markdown", 0, 0, 167, 0, 0, 0, 0, 51, 218
"/home/eudald/Escriptori/doctorat/cogstim/paper/generate_stimuli_panel.py", "Python", 76, 0, 0, 0, 0, 0, 14, 24, 114
"/home/eudald/Escriptori/doctorat/cogstim/paper/paper.bib", "BibTeX", 0, 136, 0, 0, 0, 0, 0, 14, 150
"/home/eudald/Escriptori/doctorat/cogstim/paper/paper.md", "Markdown", 0, 0, 99, 0, 0, 0, 0, 40, 139
"/home/eudald/Escriptori/doctorat/cogstim/scripts/docs_smoke.py", "Python", 287, 0, 0, 0, 0, 0, 6, 70, 363
"/home/eudald/Escriptori/doctorat/cogstim/scripts/generate_llm_docs.py", "Python", 43, 0, 0, 0, 0, 0, 7, 24, 74
"/home/eudald/Escriptori/doctorat/cogstim/scripts/mts_area_report.py", "Python", 56, 0, 0, 0, 0, 0, 4, 19, 79
"/home/eudald/Escriptori/doctorat/cogstim/scripts/mts_check_equalization.py", "Python", 83, 0, 0, 0, 0, 0, 4, 17, 104
"/home/eudald/Escriptori/doctorat/cogstim/tests/__init__.py", "Python", 5, 0, 0, 0, 0, 0, 1, 2, 8
"/home/eudald/Escriptori/doctorat/cogstim/tests/test_ans_dots_updates.py", "Python", 297, 0, 0, 0, 0, 0, 14, 51, 362
"/home/eudald/Escriptori/doctorat/cogstim/tests/test_base_generator.py", "Python", 117, 0, 0, 0, 0, 0, 24, 47, 188
"/home/eudald/Escriptori/doctorat/cogstim/tests/test_cli_integration.py", "Python", 223, 0, 0, 0, 0, 0, 16, 66, 305
"/home/eudald/Escriptori/doctorat/cogstim/tests/test_config.py", "Python", 50, 0, 0, 0, 0, 0, 16, 20, 86
